CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1559720,009066101,0000950123-23-011244,AIRBNB INC,71932754,524253,009066,30-SEP-2023,"SC US (TTGP), LTD.","2800 SAND HILL RD, SUITE 101, MENLO PARK, CA, 94025"
1559720,009066101,0001007280-23-000013,Airbnb Inc-Class A,28230000,205740,009066,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1559720,009066101,0001007280-23-000012,Airbnb Inc-Class A,28433000,221856,009066,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1559720,009066101,0001007280-23-000011,Airbnb Inc-Class A,27043000,217389,009066,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1559720,009066101,0001007280-23-000010,Airbnb Inc-Class A,19104000,223441,009066,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1559720,009066101,0001104659-23-126756,AIRBNB INC,4456716638,32480990,009066,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1559720,009066101,0001104659-23-126756,AIRBNB INC,44332139,323097,009066,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1559720,009066101,0001104659-23-126756,AIRBNB INC,23727863,172931,009066,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1559720,009066101,0001104659-23-126756,AIRBNB INC,164835724,1201339,009066,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1559720,009066101,0001104659-23-126756,AIRBNB INC,8283368,60370,009066,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1559720,009066101,0001172661-23-004083,AIRBNB INC,481208,3529,009066,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1559720,009066101,0001172661-23-004083,AIRBNB INC,8904929,64900,009066,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1559720,009066101,0001172661-23-004083,AIRBNB INC,1838614,13400,009066,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1559720,009066101,0001172661-23-004079,AIRBNB INC,53187553,415009,009066,30-JUN-2023,Polar Capital Holdings Plc,"16 Palace Street, London, X0, SW1E 5JD"
1559720,009066101,0001172661-23-004078,AIRBNB INC,88517442,711555,009066,31-MAR-2023,Polar Capital Holdings Plc,"16 Palace Street, London, X0, SW1E 5JD"
1559720,009066101,0000714142-23-000004,AIRBNB INC,4372,31867,009066,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1559720,009066101,0000850529-23-000012,AIRBNB INC,336908,2628,009066,30-JUN-2023,"Fisher Asset Management, LLC","5525 NW FISHER CREEK DRIVE, CAMAS, WA, 98607"
1559720,009066101,0001372130-23-000004,AIRBNB INC COM CL A,109658,803,009066,30-SEP-2023,"HEADINVEST, LLC","7 CUSTOM HOUSE STREET, 4TH FLOOR, PORTLAND, ME, 04101"
1559720,009066101,0001062993-23-022252,AIRBNB INC COM CL A,121019,882,009066,30-SEP-2023,"Sunbelt Securities, Inc.","2700 POST OAK BLVD, SUITE 1700, HOUSTON, TX, 77056"
1559720,009066101,0001911726-23-000006,AIRBNB INC,8690,63,009066,30-SEP-2023,Raleigh Capital Management Inc.,"1400 CRESCENT GREEN DRIVE, SUITE 100, CARY, NC, 27518"
