CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1652044,02079K107,0000051762-23-000005,ALPHABET CLASS C,7361713,55834,02079K,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
1652044,02079K107,0001214659-23-016755,ALPHABET INC,27689975,210011,02079K,30-SEP-2023,"MayTech Global Investments, LLC","950 THIRD AVENUE, 18TH FLOOR, NEW YORK, NY, 10022"
1652044,02079K107,0001398344-23-023299,ALPHABET INC CAP STK CL C,885849,755,02079K,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023286,ALPHABET INC CAP STK CL C,632954,763,02079K,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023293,ALPHABET INC CAP STK CL C,861282,772,02079K,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023296,ALPHABET INC CAP STK CL C,784992,758,02079K,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023281,ALPHABET INC CAP STK CL C,633664,821,02079K,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023285,ALPHABET INC CAP STK CL C,727964,759,02079K,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023283,ALPHABET INC CAP STK CL C,693361,763,02079K,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023302,ALPHABET INC CAP STK CL C,934973,767,02079K,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023298,ALPHABET INC CAP STK CL C,816087,755,02079K,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023292,ALPHABET INC CAP STK CL C,793447,769,02079K,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023291,ALPHABET INC CAP STK CL C,788986,754,02079K,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023303,ALPHABET INC CAP STK CL C,1084323,811,02079K,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023072,ALPHABET INC CAP STK CL C,938388,807,02079K,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-023070,ALPHABET INC CAP STK CL C,901070,755,02079K,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001661245-23-000005,ALPHABET INC,2926514,22196,02079K,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001661245-23-000005,ALPHABET INC,253680,1924,02079K,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001661245-23-000004,ALPHABET INC,2681394,22166,02079K,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001661245-23-000004,ALPHABET INC,81897,677,02079K,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001661245-23-000003,ALPHABET INC,3130897,30105,02079K,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001661245-23-000003,ALPHABET INC,42432,408,02079K,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001661245-23-000002,ALPHABET INC,19610,221,02079K,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001661245-23-000002,ALPHABET INC,3167523,35698,02079K,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1652044,02079K107,0001398344-23-022979,ALPHABET INC CAP STK CL C,1189527,679,02079K,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022987,ALPHABET INC CAP STK CL C,1140783,807,02079K,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022988,ALPHABET INC CAP STK CL C,1612513,605,02079K,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022984,ALPHABET INC CAP STK CL C,1614070,644,02079K,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022983,ALPHABET INC CAP STK CL C,1791132,619,02079K,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022982,ALPHABET INC CAP STK CL C,1147758,781,02079K,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022980,ALPHABET INC CAP STK CL C,1338404,647,02079K,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001007280-23-000013,Alphabet Inc-Cl C,371245000,2815663,02079K,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1652044,02079K107,0001007280-23-000012,Alphabet Inc-Cl C,367188000,3035368,02079K,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1652044,02079K107,0001007280-23-000011,Alphabet Inc-Cl C,324808000,3123153,02079K,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1652044,02079K107,0001007280-23-000010,Alphabet Inc-Cl C,289219000,3259538,02079K,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1652044,02079K107,0001398344-23-022879,ALPHABET INC CAP STK CL C,1498403,685,02079K,30-JUN-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022880,ALPHABET INC CAP STK CL C,1874096,671,02079K,31-MAR-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022881,ALPHABET INC CAP STK CL C,1256681,13070,02079K,30-SEP-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022864,ALPHABET INC CAP STK CL C,1488191,11287,02079K,30-SEP-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022863,ALPHABET INC CAP STK CL C,1345240,12935,02079K,31-MAR-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022861,ALPHABET INC CAP STK CL C,1447648,11967,02079K,30-JUN-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001398344-23-022860,ALPHABET INC CAP STK CL C,1170260,13189,02079K,31-DEC-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1652044,02079K107,0001540656-23-000021,ALPHABET INC,8257239,62626,02079K,30-SEP-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
1652044,02079K107,0001540656-23-000019,ALPHABET INC,3042638,25152,02079K,30-JUN-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
1652044,02079K107,0001540656-23-000015,ALPHABET INC,3081860,34733,02079K,31-DEC-2022,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
1652044,02079K107,0001104659-23-126756,ALPHABET INC,51226357122,388519963,02079K,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1652044,02079K107,0001104659-23-126756,ALPHABET INC,512805919,3889313,02079K,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1652044,02079K107,0001104659-23-126756,ALPHABET INC,294697012,2235093,02079K,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1652044,02079K107,0001104659-23-126756,ALPHABET INC,1926007709,14607567,02079K,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1652044,02079K107,0001104659-23-126756,ALPHABET INC,98886050,749989,02079K,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1652044,02079K107,0001104659-23-126756,ALPHABET INC,4166196,31598,02079K,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1652044,02079K107,0001845199-23-000004,Alphabet Inc Cl C,237330,1800,02079K,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
1652044,02079K107,0001845199-23-000004,Alphabet Inc Cl C,263700,2000,02079K,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
1652044,02079K107,0001803296-23-000004,ALPHABET INC,1908924,14478,02079K,30-SEP-2023,"WNY Asset Management, LLC","6500 Sheridan Drive, Suite 200, Williamsville, NY, 14221"
1652044,02079K107,0001172661-23-004083,ALPHABET INC,3505301,26386,02079K,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004083,ALPHABET INC,24563655,186300,02079K,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004083,ALPHABET INC,60888330,461800,02079K,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004082,ALPHABET INC,3592809,29700,02079K,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004082,ALPHABET INC,6205761,51300,02079K,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004081,ALPHABET INC,1123552,10781,02079K,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004081,ALPHABET INC,7945600,76400,02079K,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004081,ALPHABET INC,17357600,166900,02079K,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004080,ALPHABET INC,1255008,14115,02079K,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004080,ALPHABET INC,3673422,41400,02079K,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001172661-23-004080,ALPHABET INC,1419680,16000,02079K,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1652044,02079K107,0001993325-23-000004,ALPHABET INC,87360,840,02079K,31-MAR-2023,"Slocum, Gordon & Co LLP","39 MILL STREET, NEWPORT, RI, 02840"
