CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
4962,025816109,0000051762-23-000005,AMERICAN EXPRESS CO,1218733,8169,025816,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
4962,025816109,0001398344-23-023299,AMERICAN EXPRESS CO COM,45032,412,025816,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023286,AMERICAN EXPRESS CO COM,181716,2297,025816,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023293,AMERICAN EXPRESS CO COM,40376,412,025816,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023296,AMERICAN EXPRESS CO COM,39272,412,025816,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023281,AMERICAN EXPRESS CO COM,170162,2297,025816,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023285,AMERICAN EXPRESS CO COM,34646,383,025816,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023283,AMERICAN EXPRESS CO COM,39340,467,025816,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023302,AMERICAN EXPRESS CO COM,48731,412,025816,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023298,AMERICAN EXPRESS CO COM,50857,412,025816,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023292,AMERICAN EXPRESS CO COM,35726,383,025816,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023291,AMERICAN EXPRESS CO COM,38036,383,025816,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023303,AMERICAN EXPRESS CO COM,51290,412,025816,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023072,AMERICAN EXPRESS CO COM,27138,317,025816,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-023070,AMERICAN EXPRESS CO COM,43874,412,025816,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022979,AMERICAN EXPRESS CO COM,38328,317,025816,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022987,AMERICAN EXPRESS CO COM,30178,317,025816,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022988,AMERICAN EXPRESS CO COM,73211,437,025816,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022984,AMERICAN EXPRESS CO COM,72206,437,025816,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022983,AMERICAN EXPRESS CO COM,74438,455,025816,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022982,AMERICAN EXPRESS CO COM,31779,317,025816,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022980,AMERICAN EXPRESS CO COM,59546,421,025816,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001007280-23-000013,American Express Co,45329000,303832,025816,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
4962,025816109,0001007280-23-000012,American Express Co,56696000,325464,025816,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
4962,025816109,0001007280-23-000011,American Express Co,58321000,353566,025816,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
4962,025816109,0001007280-23-000010,American Express Co,98398000,665973,025816,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
4962,025816109,0001398344-23-022879,AMERICAN EXPRESS CO COM,58359,421,025816,30-JUN-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022880,AMERICAN EXPRESS CO COM,81719,437,025816,31-MAR-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022881,AMERICAN EXPRESS CO COM,56797,421,025816,30-SEP-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022864,AMERICAN EXPRESS CO COM,74147,497,025816,30-SEP-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022863,AMERICAN EXPRESS CO COM,89403,542,025816,31-MAR-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022861,AMERICAN EXPRESS CO COM,86577,497,025816,30-JUN-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001398344-23-022860,AMERICAN EXPRESS CO COM,57918,392,025816,31-DEC-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
4962,025816109,0001104659-23-126756,AMERICAN EXPRESS CO,6622424151,44389196,025816,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
4962,025816109,0001104659-23-126756,AMERICAN EXPRESS CO,62074378,416076,025816,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
4962,025816109,0001104659-23-126756,AMERICAN EXPRESS CO,39375568,263929,025816,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
4962,025816109,0001104659-23-126756,AMERICAN EXPRESS CO,252818568,1694608,025816,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
