CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
12927,097023105,0000051762-23-000005,BOEING COMPANY,818025,4268,097023,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
12927,097023105,0001398344-23-023299,BOEING CO COM,250212,656,097023,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023286,BOEING CO COM,158290,895,097023,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023293,BOEING CO COM,220095,656,097023,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023296,BOEING CO COM,211560,656,097023,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023281,BOEING CO COM,139334,895,097023,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023285,BOEING CO COM,208452,820,097023,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023283,BOEING CO COM,176986,895,097023,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023302,BOEING CO COM,249588,656,097023,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023298,BOEING CO COM,238791,656,097023,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023292,BOEING CO COM,215089,656,097023,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023291,BOEING CO COM,193461,656,097023,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023303,BOEING CO COM,221843,681,097023,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
12927,097023105,0001398344-23-023072,BOEING CO COM,93809,629,097023,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
