CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
18230,149123101,0000051762-23-000005,CATERPILLAR INC,686868,2516,149123,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
18230,149123101,0001398344-23-023299,CATERPILLAR INC COM,34956,258,149123,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023286,CATERPILLAR INC COM,28106,303,149123,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023293,CATERPILLAR INC COM,35003,258,149123,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023296,CATERPILLAR INC COM,32784,258,149123,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023281,CATERPILLAR INC COM,28100,303,149123,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023285,CATERPILLAR INC COM,32175,258,149123,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023283,CATERPILLAR INC COM,32560,303,149123,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023302,CATERPILLAR INC COM,32588,258,149123,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023298,CATERPILLAR INC COM,35163,258,149123,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023292,CATERPILLAR INC COM,38024,258,149123,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023291,CATERPILLAR INC COM,40656,258,149123,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023303,CATERPILLAR INC COM,38101,258,149123,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023072,CATERPILLAR INC COM,25297,218,149123,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001398344-23-023070,CATERPILLAR INC COM,39342,258,149123,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
18230,149123101,0001661245-23-000005,CATERPILLAR INC,223041,817,149123,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
18230,149123101,0001661245-23-000005,CATERPILLAR INC,20202,74,149123,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
18230,149123101,0001398344-23-022979,CATERPILLAR INC COM,39680,218,149123,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
