CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
93410,166764100,0000051762-23-000005,CHEVRON CORP,55686558,330249,166764,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
93410,166764100,0001398344-23-023299,CHEVRON CORP NEW COM,1117243,9070,166764,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023286,CHEVRON CORP NEW COM,353892,3296,166764,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023293,CHEVRON CORP NEW COM,840380,6647,166764,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023296,CHEVRON CORP NEW COM,717361,6594,166764,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023281,CHEVRON CORP NEW COM,419954,3568,166764,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023285,CHEVRON CORP NEW COM,303033,2579,166764,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023283,CHEVRON CORP NEW COM,269067,2579,166764,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023302,CHEVRON CORP NEW COM,1044866,8810,166764,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023298,CHEVRON CORP NEW COM,1090965,8767,166764,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023292,CHEVRON CORP NEW COM,447379,3923,166764,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023291,CHEVRON CORP NEW COM,322865,2579,166764,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023303,CHEVRON CORP NEW COM,1075190,8922,166764,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023072,CHEVRON CORP NEW COM,492950,6803,166764,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-023070,CHEVRON CORP NEW COM,809494,6620,166764,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001661245-23-000005,CHEVRON CORP NEW,522327,3098,166764,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001661245-23-000005,CHEVRON CORP NEW,156311,927,166764,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001661245-23-000004,CHEVRON CORP NEW,482049,3064,166764,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001661245-23-000004,CHEVRON CORP NEW,205342,1305,166764,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001661245-23-000003,CHEVRON CORP NEW,533440,3269,166764,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001661245-23-000003,CHEVRON CORP NEW,157939,968,166764,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001661245-23-000002,CHEVRON CORP NEW,184696,1029,166764,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001661245-23-000002,CHEVRON CORP NEW,578193,3221,166764,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
93410,166764100,0001398344-23-022979,CHEVRON CORP NEW COM,822668,9741,166764,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022987,CHEVRON CORP NEW COM,889279,9966,166764,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022988,CHEVRON CORP NEW COM,1082969,10675,166764,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022984,CHEVRON CORP NEW COM,1037415,9905,166764,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022983,CHEVRON CORP NEW COM,1195785,10190,166764,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022982,CHEVRON CORP NEW COM,710901,9874,166764,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022980,CHEVRON CORP NEW COM,1056469,10082,166764,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001007280-23-000013,Chevron Corp,154861000,918400,166764,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
93410,166764100,0001007280-23-000012,Chevron Corp,151053000,959978,166764,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
93410,166764100,0001007280-23-000011,Chevron Corp,187836000,1151241,166764,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
93410,166764100,0001007280-23-000010,Chevron Corp,211063000,1175904,166764,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
93410,166764100,0001398344-23-022879,CHEVRON CORP NEW COM,1513988,10457,166764,30-JUN-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022880,CHEVRON CORP NEW COM,1675307,10289,166764,31-MAR-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022881,CHEVRON CORP NEW COM,1564296,10888,166764,30-SEP-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022864,CHEVRON CORP NEW COM,1914507,11354,166764,30-SEP-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022863,CHEVRON CORP NEW COM,1923587,11790,166764,31-MAR-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022861,CHEVRON CORP NEW COM,1845718,11730,166764,30-JUN-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001398344-23-022860,CHEVRON CORP NEW COM,2047650,11408,166764,31-DEC-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
93410,166764100,0001540656-23-000017,CHEVRON CORP NEW,1027582,6298,166764,31-MAR-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
93410,166764100,0001540656-23-000015,CHEVRON CORP NEW,509932,2841,166764,31-DEC-2022,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
93410,166764100,0001104659-23-126756,CHEVRON CORP NEW,26068955611,154601800,166764,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
93410,166764100,0001104659-23-126756,CHEVRON CORP NEW,204839070,1214797,166764,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
93410,166764100,0001104659-23-126756,CHEVRON CORP NEW,122349492,725593,166764,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
93410,166764100,0001104659-23-126756,CHEVRON CORP NEW,876272275,5196728,166764,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
93410,166764100,0001104659-23-126756,CHEVRON CORP NEW,30344012,179955,166764,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
93410,166764100,0001104659-23-126756,CHEVRON CORP NEW,927747,5502,166764,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
93410,166764100,0001845199-23-000004,Chevron Corp,2557291,15166,166764,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
93410,166764100,0001845199-23-000004,Chevron Corp,149397,886,166764,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
93410,166764100,0001803296-23-000004,CHEVRON CORP NEW,697582,4137,166764,30-SEP-2023,"WNY Asset Management, LLC","6500 Sheridan Drive, Suite 200, Williamsville, NY, 14221"
93410,166764100,0001172661-23-004083,CHEVRON CORP NEW,434853,2552,166764,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004083,CHEVRON CORP NEW,826238,4900,166764,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004083,CHEVRON CORP NEW,2057164,12200,166764,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004082,CHEVRON CORP NEW,188820,1200,166764,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004082,CHEVRON CORP NEW,1416150,9000,166764,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004082,CHEVRON CORP NEW,555713,3555,166764,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004081,CHEVRON CORP NEW,16982815,104593,166764,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004081,CHEVRON CORP NEW,77696792,476200,166764,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004081,CHEVRON CORP NEW,30510920,187000,166764,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
93410,166764100,0001172661-23-004080,CHEVRON CORP NEW,2113106,11849,166764,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
