CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
21344,191216100,0001214659-23-016755,COCA COLA CO,324124,5790,191216,30-SEP-2023,"MayTech Global Investments, LLC","950 THIRD AVENUE, 18TH FLOOR, NEW YORK, NY, 10022"
21344,191216100,0001398344-23-023299,COCA COLA CO COM,1079092,23028,191216,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023286,COCA COLA CO COM,1007398,23737,191216,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023293,COCA COLA CO COM,797463,18182,191216,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023296,COCA COLA CO COM,865653,18282,191216,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023281,COCA COLA CO COM,1725617,41621,191216,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023285,COCA COLA CO COM,968345,21514,191216,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023283,COCA COLA CO COM,1097210,24464,191216,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023302,COCA COLA CO COM,1233828,22664,191216,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023298,COCA COLA CO COM,1178543,23145,191216,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023292,COCA COLA CO COM,821435,18914,191216,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023291,COCA COLA CO COM,966737,21071,191216,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023303,COCA COLA CO COM,2784880,50314,191216,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023072,COCA COLA CO COM,2177985,49220,191216,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-023070,COCA COLA CO COM,847817,18355,191216,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001661245-23-000005,COCA COLA CO,72297,1290,191216,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
21344,191216100,0001661245-23-000005,COCA COLA CO,210575,3759,191216,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
21344,191216100,0001398344-23-022979,COCA COLA CO COM,2639120,48124,191216,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022987,COCA COLA CO COM,2218764,49659,191216,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022988,COCA COLA CO COM,7050079,134364,191216,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022984,COCA COLA CO COM,2512111,46426,191216,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022983,COCA COLA CO COM,7918158,133730,191216,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022982,COCA COLA CO COM,2413946,48895,191216,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022980,COCA COLA CO COM,2561232,48591,191216,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001007280-23-000013,Coca-Cola Co/The,122020000,2179713,191216,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
21344,191216100,0001007280-23-000012,Coca-Cola Co/The,140578000,2334405,191216,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
