CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1065088,278642103,0001398344-23-023299,EBAY INC. COM,26481,713,278642,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023286,EBAY INC. COM,23935,713,278642,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023293,EBAY INC. COM,25853,713,278642,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023296,EBAY INC. COM,20014,713,278642,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023281,EBAY INC. COM,21169,713,278642,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023285,EBAY INC. COM,27422,713,278642,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023283,EBAY INC. COM,24898,713,278642,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023302,EBAY INC. COM,27793,713,278642,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023298,EBAY INC. COM,28164,713,278642,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023292,EBAY INC. COM,28691,713,278642,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023291,EBAY INC. COM,26909,713,278642,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023303,EBAY INC. COM,25746,713,278642,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023072,EBAY INC. COM,18607,619,278642,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-023070,EBAY INC. COM,23543,713,278642,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022979,EBAY INC. COM,54421,1083,278642,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022987,EBAY INC. COM,32467,619,278642,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022988,EBAY INC. COM,32954,473,278642,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022984,EBAY INC. COM,33209,473,278642,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022983,EBAY INC. COM,31455,473,278642,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022982,EBAY INC. COM,56424,1083,278642,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022980,EBAY INC. COM,37908,619,278642,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001007280-23-000013,Ebay Inc,12305000,279084,278642,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065088,278642103,0001007280-23-000012,Ebay Inc,10939000,244780,278642,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065088,278642103,0001007280-23-000011,Ebay Inc,12133000,273448,278642,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065088,278642103,0001007280-23-000010,Ebay Inc,11776000,283959,278642,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065088,278642103,0001398344-23-022879,EBAY INC. COM,19710,473,278642,30-JUN-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022880,EBAY INC. COM,27084,473,278642,31-MAR-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022881,EBAY INC. COM,17411,473,278642,30-SEP-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022864,EBAY INC. COM,20855,473,278642,30-SEP-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022863,EBAY INC. COM,20987,473,278642,31-MAR-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022861,EBAY INC. COM,21138,473,278642,30-JUN-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001398344-23-022860,EBAY INC. COM,19615,473,278642,31-DEC-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065088,278642103,0001104659-23-126756,EBAY INC.,2545067341,57724367,278642,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
