CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1326801,30303M102,0000051762-23-000005,FACEBOOK INC-A,574902,1915,30303M,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
1326801,30303M102,0001214659-23-016755,META PLATFORMS INC,39805744,132593,30303M,30-SEP-2023,"MayTech Global Investments, LLC","950 THIRD AVENUE, 18TH FLOOR, NEW YORK, NY, 10022"
1326801,30303M102,0001398344-23-023299,FACEBOOK CL A,346715,2080,30303M,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023286,FACEBOOK CL A,273162,1923,30303M,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023293,FACEBOOK CL A,392721,2021,30303M,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023296,FACEBOOK CL A,273454,2086,30303M,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023281,FACEBOOK CL A,221241,1923,30303M,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023285,FACEBOOK CL A,301244,1763,30303M,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023283,FACEBOOK CL A,290335,1923,30303M,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023302,FACEBOOK CL A,355448,1996,30303M,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023298,FACEBOOK CL A,401440,2080,30303M,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023292,FACEBOOK CL A,322776,2020,30303M,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023291,FACEBOOK CL A,316393,1793,30303M,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023303,FACEBOOK CL A,409679,1996,30303M,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023072,FACEBOOK CL A,302742,1815,30303M,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-023070,FACEBOOK CL A,331551,2016,30303M,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001661245-23-000005,META PLATFORMS INC,1221295,4068,30303M,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001661245-23-000005,META PLATFORMS INC,534374,1780,30303M,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001661245-23-000004,META PLATFORMS INC,1260455,4392,30303M,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001661245-23-000004,META PLATFORMS INC,523165,1823,30303M,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001661245-23-000003,META PLATFORMS INC,3631833,17136,30303M,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001661245-23-000003,META PLATFORMS INC,277006,1307,30303M,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001661245-23-000002,META PLATFORMS INC,150546,1251,30303M,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001661245-23-000002,META PLATFORMS INC,2020870,16793,30303M,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1326801,30303M102,0001398344-23-022979,FACEBOOK CL A,398267,1458,30303M,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022987,FACEBOOK CL A,421215,1855,30303M,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022988,FACEBOOK CL A,630247,1857,30303M,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022984,FACEBOOK CL A,663431,1908,30303M,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022983,FACEBOOK CL A,543542,1616,30303M,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022982,FACEBOOK CL A,459635,1755,30303M,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022980,FACEBOOK CL A,493338,1675,30303M,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
