CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
200406,478160104,0000051762-23-000005,JOHNSON & JOHNSON,46393524,297872,478160,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
200406,478160104,0001398344-23-023299,JOHNSON & JOHNSON COM,1342403,9603,478160,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023286,JOHNSON & JOHNSON COM,1238899,9947,478160,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023293,JOHNSON & JOHNSON COM,1188525,9795,478160,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023296,JOHNSON & JOHNSON COM,1208037,9361,478160,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023281,JOHNSON & JOHNSON COM,1034701,8981,478160,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023285,JOHNSON & JOHNSON COM,1274358,9802,478160,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023283,JOHNSON & JOHNSON COM,1316153,9949,478160,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023302,JOHNSON & JOHNSON COM,1210609,9357,478160,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023298,JOHNSON & JOHNSON COM,1307421,9387,478160,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023292,JOHNSON & JOHNSON COM,1247925,9738,478160,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023291,JOHNSON & JOHNSON COM,1350953,9669,478160,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023303,JOHNSON & JOHNSON COM,1338941,9179,478160,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023072,JOHNSON & JOHNSON COM,1148043,8755,478160,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001398344-23-023070,JOHNSON & JOHNSON COM,1303496,9434,478160,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
200406,478160104,0001661245-23-000005,JOHNSON & JOHNSON,126636,813,478160,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
200406,478160104,0001661245-23-000005,JOHNSON & JOHNSON,312279,2005,478160,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
200406,478160104,0001661245-23-000004,JOHNSON & JOHNSON,135238,817,478160,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
200406,478160104,0001661245-23-000004,JOHNSON & JOHNSON,87561,529,478160,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
200406,478160104,0001974403-23-000006,JOHNSON & JOHNSON,368037,2363,478160,30-SEP-2023,"Vawter Financial, Ltd.","1161 BETHEL ROAD, SUITE 304, COLUMBUS, OH, 43220"
200406,478160104,0001398344-23-022979,JOHNSON & JOHNSON COM,768172,4881,478160,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
