CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1065280,64110L106,0001398344-23-023299,NETFLIX INC COM,74878,210,64110L,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023286,NETFLIX INC COM,31336,212,64110L,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023293,NETFLIX INC COM,82200,210,64110L,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023296,NETFLIX INC COM,56209,210,64110L,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023281,NETFLIX INC COM,26246,212,64110L,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023285,NETFLIX INC COM,38446,212,64110L,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023283,NETFLIX INC COM,31675,212,64110L,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023302,NETFLIX INC COM,56200,210,64110L,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023298,NETFLIX INC COM,77137,210,64110L,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023292,NETFLIX INC COM,62024,210,64110L,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023291,NETFLIX INC COM,40312,210,64110L,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023303,NETFLIX INC COM,67950,210,64110L,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023072,NETFLIX INC COM,68341,182,64110L,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-023070,NETFLIX INC COM,78567,210,64110L,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022979,NETFLIX INC COM,102198,189,64110L,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022987,NETFLIX INC COM,86003,189,64110L,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022988,NETFLIX INC COM,115354,189,64110L,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022984,NETFLIX INC COM,99832,189,64110L,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022983,NETFLIX INC COM,113861,189,64110L,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022982,NETFLIX INC COM,94506,189,64110L,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022980,NETFLIX INC COM,98594,189,64110L,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001007280-23-000013,Netflix Inc,100274000,265555,64110L,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065280,64110L106,0001007280-23-000012,Netflix Inc,124123000,281785,64110L,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065280,64110L106,0001007280-23-000011,Netflix Inc,88563000,256347,64110L,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065280,64110L106,0001007280-23-000010,Netflix Inc,94794000,321468,64110L,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1065280,64110L106,0001398344-23-022879,NETFLIX INC COM,33050,189,64110L,30-JUN-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1065280,64110L106,0001398344-23-022880,NETFLIX INC COM,70798,189,64110L,31-MAR-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
