CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1045810,67066G104,0000051762-23-000005,NVIDIA CORP,7981381,18348,67066G,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
1045810,67066G104,0001214659-23-016755,NVIDIA CORPORATION,57069897,131198,67066G,30-SEP-2023,"MayTech Global Investments, LLC","950 THIRD AVENUE, 18TH FLOOR, NEW YORK, NY, 10022"
1045810,67066G104,0001398344-23-023299,NVIDIA CORPORATION COM,109176,608,67066G,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1045810,67066G104,0001398344-23-023286,NVIDIA CORPORATION COM,36492,335,67066G,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1045810,67066G104,0001398344-23-023293,NVIDIA CORPORATION COM,159672,674,67066G,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1045810,67066G104,0001398344-23-023296,NVIDIA CORPORATION COM,81170,608,67066G,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1045810,67066G104,0001398344-23-023281,NVIDIA CORPORATION COM,35758,335,67066G,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1045810,67066G104,0001398344-23-023285,NVIDIA CORPORATION COM,59888,335,67066G,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1045810,67066G104,0001398344-23-023283,NVIDIA CORPORATION COM,48428,335,67066G,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1045810,67066G104,0001398344-23-023302,NVIDIA CORPORATION COM,105840,608,67066G,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
