CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
77476,713448108,0000051762-23-000005,PEPSICO INCORPORATED,3690875,21783,713448,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
77476,713448108,0001398344-23-023299,PEPSICO INC COM,1153686,9414,713448,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023286,PEPSICO INC COM,1538522,13754,713448,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023293,PEPSICO INC COM,1059196,9729,713448,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023296,PEPSICO INC COM,1050775,9511,713448,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023281,PEPSICO INC COM,1001518,9572,713448,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023285,PEPSICO INC COM,1502299,13482,713448,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023283,PEPSICO INC COM,1566968,13568,713448,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023302,PEPSICO INC COM,1223206,8922,713448,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
77476,713448108,0001398344-23-023298,PEPSICO INC COM,1174007,8953,713448,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
