CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
78003,717081103,0000051762-23-000005,PFIZER INC,2118978,63882,717081,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
78003,717081103,0001398344-23-023299,PFIZER INC COM,1138641,26810,717081,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023286,PFIZER INC COM,1120428,32751,717081,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023293,PFIZER INC COM,967823,26676,717081,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023296,PFIZER INC COM,1147231,26282,717081,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023281,PFIZER INC COM,993910,30601,717081,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023285,PFIZER INC COM,1089117,30507,717081,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023283,PFIZER INC COM,1030658,30683,717081,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023302,PFIZER INC COM,1014070,28223,717081,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023298,PFIZER INC COM,1050704,24254,717081,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023292,PFIZER INC COM,935995,26373,717081,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023291,PFIZER INC COM,1021458,28201,717081,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023303,PFIZER INC COM,1090516,27833,717081,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023072,PFIZER INC COM,542395,16617,717081,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-023070,PFIZER INC COM,1165232,26440,717081,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001661245-23-000005,PFIZER INC,256703,7739,717081,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001661245-23-000005,PFIZER INC,119247,3595,717081,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001661245-23-000004,PFIZER INC,330671,9015,717081,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001661245-23-000004,PFIZER INC,50362,1373,717081,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001661245-23-000003,PFIZER INC,377564,9254,717081,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001661245-23-000003,PFIZER INC,37863,928,717081,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001661245-23-000002,PFIZER INC,150851,2944,717081,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001661245-23-000002,PFIZER INC,470947,9191,717081,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
78003,717081103,0001398344-23-022979,PFIZER INC COM,160455,4359,717081,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-022987,PFIZER INC COM,165626,5065,717081,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-022988,PFIZER INC COM,384638,8943,717081,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-022984,PFIZER INC COM,271144,6924,717081,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-022983,PFIZER INC COM,549519,9306,717081,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-022982,PFIZER INC COM,171206,4665,717081,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001398344-23-022980,PFIZER INC COM,167672,4628,717081,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
78003,717081103,0001007280-23-000013,Pfizer Inc,99912000,3012133,717081,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
