CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1318605,88160R101,0000051762-23-000005,TESLA INC,961595,3843,88160R,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
1318605,88160R101,0001398344-23-023299,TESLA INC COM,14273,51,88160R,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023286,TESLA INC COM,8071,29,88160R,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023293,TESLA INC COM,7202,21,88160R,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023296,TESLA INC COM,16973,51,88160R,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023281,TESLA INC COM,6197,29,88160R,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023285,TESLA INC COM,7163,21,88160R,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023283,TESLA INC COM,10487,29,88160R,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023302,TESLA INC COM,12284,51,88160R,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023298,TESLA INC COM,11396,51,88160R,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023292,TESLA INC COM,5589,21,88160R,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023291,TESLA INC COM,6538,21,88160R,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023303,TESLA INC COM,21335,51,88160R,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023072,TESLA INC COM,22532,43,88160R,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-023070,TESLA INC COM,5560,21,88160R,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001661245-23-000005,TESLA INC,194171,776,88160R,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1318605,88160R101,0001661245-23-000005,TESLA INC,390594,1561,88160R,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1318605,88160R101,0001661245-23-000003,TESLA INC,231743,1117,88160R,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1318605,88160R101,0001398344-23-022979,TESLA INC COM,160893,228,88160R,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-022987,TESLA INC COM,68028,63,88160R,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-022988,TESLA INC COM,161300,208,88160R,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-022984,TESLA INC COM,157690,232,88160R,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-022983,TESLA INC COM,195504,185,88160R,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-022982,TESLA INC COM,98672,230,88160R,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001398344-23-022980,TESLA INC COM,154960,232,88160R,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1318605,88160R101,0001007280-23-000013,Tesla Inc,352115000,1407223,88160R,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1318605,88160R101,0001007280-23-000012,Tesla Inc,393621000,1503690,88160R,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1318605,88160R101,0001007280-23-000011,Tesla Inc,310862000,1498421,88160R,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
