CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1543151,90353T100,0001661245-23-000005,UBER TECHNOLOGIES INC,459487,9991,90353T,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1543151,90353T100,0001661245-23-000005,UBER TECHNOLOGIES INC,6715,146,90353T,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1543151,90353T100,0001661245-23-000004,UBER TECHNOLOGIES INC,431312,9991,90353T,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1543151,90353T100,0001661245-23-000003,UBER TECHNOLOGIES INC,316842,9995,90353T,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1543151,90353T100,0001661245-23-000002,UBER TECHNOLOGIES INC,245322,9920,90353T,31-DEC-2022,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
1543151,90353T100,0001007280-23-000013,Uber Technologies Inc,44860000,975439,90353T,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1543151,90353T100,0001007280-23-000012,Uber Technologies Inc,48130000,1114894,90353T,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1543151,90353T100,0001007280-23-000011,Uber Technologies Inc,35245000,1111831,90353T,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1543151,90353T100,0001007280-23-000010,Uber Technologies Inc,28364000,1146963,90353T,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1543151,90353T100,0001540656-23-000021,UBER TECHNOLOGIES INC,585821,12738,90353T,30-SEP-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
1543151,90353T100,0001104659-23-126756,UBER TECHNOLOGIES INC,5520202005,120030485,90353T,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1543151,90353T100,0001104659-23-126756,UBER TECHNOLOGIES INC,19857240,431773,90353T,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1543151,90353T100,0001104659-23-126756,UBER TECHNOLOGIES INC,35285414,767241,90353T,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1543151,90353T100,0001104659-23-126756,UBER TECHNOLOGIES INC,135043472,2936366,90353T,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1543151,90353T100,0001104659-23-126756,UBER TECHNOLOGIES INC,8631035,187672,90353T,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1543151,90353T100,0001172661-23-004079,UBER TECHNOLOGIES INC,102234115,2368175,90353T,30-JUN-2023,Polar Capital Holdings Plc,"16 Palace Street, London, X0, SW1E 5JD"
1543151,90353T100,0001172661-23-004078,UBER TECHNOLOGIES INC,107967949,3405929,90353T,31-MAR-2023,Polar Capital Holdings Plc,"16 Palace Street, London, X0, SW1E 5JD"
1543151,90353T100,0000850529-23-000012,UBER TECHNOLOGIES INC,400937049,9287399,90353T,30-JUN-2023,"Fisher Asset Management, LLC","5525 NW FISHER CREEK DRIVE, CAMAS, WA, 98607"
1543151,90353T100,0000850529-23-000011,UBER TECHNOLOGIES INC,659491725,20804155,90353T,31-MAR-2023,"Fisher Asset Management, LLC","5525 NW FISHER CREEK DRIVE, CAMAS, WA, 98607"
1543151,90353T100,0001372130-23-000004,UBER TECHNOLOGIES INC COM,1827,40,90353T,30-SEP-2023,"HEADINVEST, LLC","7 CUSTOM HOUSE STREET, 4TH FLOOR, PORTLAND, ME, 04101"
1543151,90353T100,0000877134-23-000016,UBER TECHNOLOGIES INC,4256974,92563,90353T,30-SEP-2023,WESBANCO BANK INC,"1 BANK PLZ, WHEELING, WV, 26003"
1543151,90353T100,0000877134-23-000016,UBER TECHNOLOGIES INC,2062054,44837,90353T,30-SEP-2023,WESBANCO BANK INC,"1 BANK PLZ, WHEELING, WV, 26003"
1543151,90353T100,0001062993-23-022252,UBER TECHNOLOGIES INC COM,5887,128,90353T,30-SEP-2023,"Sunbelt Securities, Inc.","2700 POST OAK BLVD, SUITE 1700, HOUSTON, TX, 77056"
1543151,90353T100,0001911726-23-000006,UBER TECHNOLOGIES INC,41234,897,90353T,30-SEP-2023,Raleigh Capital Management Inc.,"1400 CRESCENT GREEN DRIVE, SUITE 100, CARY, NC, 27518"
1543151,90353T100,0001393825-23-000231,UBER TECHNOLOGIES INC,4139100,90000,90353T,30-SEP-2023,Hudson Bay Capital Management LP,"28 Havemeyer Place, 2nd Floor, Greenwich, CT, 06830"
1543151,90353T100,0001393825-23-000231,UBER TECHNOLOGIES INC,16828569,365918,90353T,30-SEP-2023,Hudson Bay Capital Management LP,"28 Havemeyer Place, 2nd Floor, Greenwich, CT, 06830"
1543151,90353T100,0001393825-23-000231,UBER TECHNOLOGIES INC,9818819,213499,90353T,30-SEP-2023,Hudson Bay Capital Management LP,"28 Havemeyer Place, 2nd Floor, Greenwich, CT, 06830"
1543151,90353T100,0001750924-23-000005,UBER TECHNOLOGIES INC,1242,27,90353T,30-SEP-2023,"VisionPoint Advisory Group, LLC","17250 DALLAS PARKWAY, DALLAS, TX, 75248"
1543151,90353T100,0001911726-23-000005,UBER TECHNOLOGIES INC,41234,897,90353T,30-SEP-2023,Raleigh Capital Management Inc.,"1400 CRESCENT GREEN DRIVE, SUITE 100, CARY, NC, 27518"
1543151,90353T100,0000831001-23-000151,UBER TECHNOLOGIES INC,1779537,38694,90353T,30-SEP-2023,CITIGROUP INC,"388 GREENWICH STREET, NEW YORK, NY, 10013"
1543151,90353T100,0000831001-23-000151,UBER TECHNOLOGIES INC,22742055,494500,90353T,30-SEP-2023,CITIGROUP INC,"388 GREENWICH STREET, NEW YORK, NY, 10013"
1543151,90353T100,0000831001-23-000151,UBER TECHNOLOGIES INC,4805173,104483,90353T,30-SEP-2023,CITIGROUP INC,"388 GREENWICH STREET, NEW YORK, NY, 10013"
1543151,90353T100,0000831001-23-000151,UBER TECHNOLOGIES INC,216751,4713,90353T,30-SEP-2023,CITIGROUP INC,"388 GREENWICH STREET, NEW YORK, NY, 10013"
1543151,90353T100,0000831001-23-000151,UBER TECHNOLOGIES INC,669890,14566,90353T,30-SEP-2023,CITIGROUP INC,"388 GREENWICH STREET, NEW YORK, NY, 10013"
1543151,90353T100,0000831001-23-000151,UBER TECHNOLOGIES INC,24110855,524263,90353T,30-SEP-2023,CITIGROUP INC,"388 GREENWICH STREET, NEW YORK, NY, 10013"
