CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
104169,931142103,0000051762-23-000005,WAL-MART INC,214242,1340,931142,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
104169,931142103,0001398344-23-023299,WALMART INC COM,75781,777,931142,31-MAR-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023286,WALMART INC COM,53483,742,931142,31-MAR-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023293,WALMART INC COM,66550,777,931142,30-JUN-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023296,WALMART INC COM,72378,777,931142,31-DEC-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023281,WALMART INC COM,51287,742,931142,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023285,WALMART INC COM,57980,742,931142,30-SEP-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023283,WALMART INC COM,56155,742,931142,30-JUN-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023302,WALMART INC COM,92214,777,931142,30-SEP-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023298,WALMART INC COM,85851,777,931142,30-JUN-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023292,WALMART INC COM,66016,742,931142,31-MAR-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023291,WALMART INC COM,73273,742,931142,31-DEC-2017,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023303,WALMART INC COM,116107,977,931142,31-DEC-2019,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023072,WALMART INC COM,162136,1427,931142,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-023070,WALMART INC COM,72968,777,931142,30-SEP-2018,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001661245-23-000005,WALMART INC,8797,55,931142,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
104169,931142103,0001661245-23-000005,WALMART INC,191597,1198,931142,30-SEP-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
104169,931142103,0001661245-23-000004,WALMART INC,11160,71,931142,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
104169,931142103,0001661245-23-000004,WALMART INC,193489,1231,931142,30-JUN-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
104169,931142103,0001661245-23-000003,WALMART INC,131433,888,931142,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
104169,931142103,0001661245-23-000003,WALMART INC,80343,543,931142,31-MAR-2023,Moss Adams Wealth Advisors LLC,"999 THIRD AVE STE 2800, SEATTLE, WA, 98104"
104169,931142103,0001398344-23-022979,WALMART INC COM,176872,1227,931142,31-DEC-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-022987,WALMART INC COM,170926,1427,931142,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-022988,WALMART INC COM,262313,1882,931142,30-SEP-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-022984,WALMART INC COM,176839,1254,931142,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-022983,WALMART INC COM,246118,1701,931142,31-DEC-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-022982,WALMART INC COM,196853,1407,931142,30-SEP-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
104169,931142103,0001398344-23-022980,WALMART INC COM,172232,1268,931142,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
