CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1437107,934423104,0000051762-23-000005,WARNER BROTHERS DISCOVERY INC ,3785310,348555,934423,30-SEP-2023,RNC CAPITAL MANAGEMENT LLC,"11601 WILSHIRE BLVD. 25TH FL, LOS ANGELES, CA, 90025"
1437107,934423104,0001398344-23-023281,WARNER BROS DISCOVERY INC COM SER A,1206,44,934423,31-DEC-2016,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-023072,WARNER BROS DISCOVERY INC COM SER A,9137,470,934423,31-MAR-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-022987,WARNER BROS DISCOVERY INC COM SER A,9917,470,934423,30-JUN-2020,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-022984,WARNER BROS DISCOVERY INC COM SER A,1810,59,934423,30-JUN-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001007280-23-000013,Warner Bros Discovery I,9752000,898000,934423,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1437107,934423104,0001007280-23-000012,Warner Bros Discovery I,12508000,997483,934423,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1437107,934423104,0001007280-23-000011,Warner Bros Discovery I,17715000,1173211,934423,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1437107,934423104,0001007280-23-000010,Warner Bros Discovery I,11602000,1223883,934423,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1437107,934423104,0001398344-23-022879,WARNER BROS DISCOVERY INC COM SER A,8186,610,934423,30-JUN-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-022881,WARNER BROS DISCOVERY INC COM SER A,5026,437,934423,30-SEP-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-022864,WARNER BROS DISCOVERY INC COM SER A,5354,493,934423,30-SEP-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-022863,WARNER BROS DISCOVERY INC COM SER A,7988,529,934423,31-MAR-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-022861,WARNER BROS DISCOVERY INC COM SER A,6182,493,934423,30-JUN-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001398344-23-022860,WARNER BROS DISCOVERY INC COM SER A,4674,493,934423,31-DEC-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1437107,934423104,0001104659-23-126756,WARNER BROS DISCOVERY INC,2574561499,237068278,934423,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1437107,934423104,0001104659-23-126756,WARNER BROS DISCOVERY INC,16461783,1515818,934423,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1437107,934423104,0001104659-23-126756,WARNER BROS DISCOVERY INC,10919991,1005524,934423,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1437107,934423104,0001104659-23-126756,WARNER BROS DISCOVERY INC,69210834,6373005,934423,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1437107,934423104,0001104659-23-126756,WARNER BROS DISCOVERY INC,3604184,331877,934423,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1437107,934423104,0001104659-23-126756,WARNER BROS DISCOVERY INC,58253,5364,934423,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1437107,934423104,0001845199-23-000004,Warner Bros Discovery Inc,50771,4675,934423,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
